hmo_id,hmo_name,plan_name,customer_type,min_lives,premium_ngn,overall_limit_ngn,provider_access,payment_model,surgery_major_ngn,maternity_ngn,evidence_tier,source_status,notes
NG-HMO-001,Hygeia HMO,HyEssential,retail_individual,1.0,26515.0,,Category C-D,,,,B,VERIFIED_SNAPSHOT_2026-08-27,Snapshot-verified 2026-08-27 05:14-05:20 (URL+clock visible)
NG-HMO-001,Hygeia HMO,HyBasic,retail_individual,1.0,66070.0,,Category C-D,,200000,100000,B,VERIFIED_SNAPSHOT_2026-08-27,Snapshot-verified 2026-08-27 05:14-05:20 (URL+clock visible)
NG-HMO-001,Hygeia HMO,HyPrime,retail_individual,1.0,181380.0,,Category B-D,,300000,200000,B,VERIFIED_SNAPSHOT_2026-08-27,Snapshot-verified 2026-08-27 05:14-05:20 (URL+clock visible)
NG-HMO-001,Hygeia HMO,HyPrime Plus,retail_individual,1.0,480380.0,,Category A-D,,400000,300000,B,VERIFIED_SNAPSHOT_2026-08-27,Snapshot-verified 2026-08-27 05:14-05:20 (URL+clock visible)
NG-HMO-001,Hygeia HMO,HyPrime Exclusive,retail_individual,1.0,748660.0,,Category A-D,,600000,300000,B,VERIFIED_SNAPSHOT_2026-08-27,Snapshot-verified 2026-08-27 05:14-05:20 (URL+clock visible)
NG-HMO-001,Hygeia HMO,Senior Exclusive,retail_senior,1.0,1115000.0,,Category A-D + Evercare/Reddington named,,1000000,,B,VERIFIED_SNAPSHOT_2026-08-27,Snapshot-verified 2026-08-27 05:14-05:20 (URL+clock visible)
NG-HMO-002,Total Health Trust,NOT PUBLISHED,,,,,,,,,B,NOT_PUBLICLY_VERIFIED,No public retail schedule — P0-05 open
NG-HMO-003,Clearline HMO,Kia Kia,retail_individual,1.0,3000.0,,Telemedicine only — NOT hospital,,,,B,VERIFY,Deck claims Band D hospital access — contradicts site (C-11)
NG-HMO-003,Clearline HMO,Clear Value,retail_individual,1.0,80000.0,,Band C-D,,200000,,B,VERIFY,
NG-HMO-003,Clearline HMO,Clear Advantage,retail_individual,1.0,250000.0,,Band B-D,,250000,,B,VERIFY,
NG-HMO-003,Clearline HMO,Clear Elite,retail_individual,1.0,600000.0,,Band A (deck),,,,B,VERIFY,Deck says 650000 — C-10
NG-HMO-003,Clearline HMO,Bronze,corporate,30.0,61525.0,1000000,,,250000,,B,VERIFY_BEFORE_PURCHASE,Source doc titled September 2025 (C-09)
NG-HMO-003,Clearline HMO,Silver,corporate,30.0,81880.0,2000000,,,300000,,B,VERIFY_BEFORE_PURCHASE,C-09
NG-HMO-003,Clearline HMO,Gold,corporate,30.0,117245.0,3000000,,,400000,,B,VERIFY_BEFORE_PURCHASE,C-09
NG-HMO-003,Clearline HMO,Gold Plus,corporate,30.0,180775.0,3500000,,,500000,,B,VERIFY_BEFORE_PURCHASE,C-09
NG-HMO-003,Clearline HMO,Platinum,corporate,30.0,345000.0,4000000,,,1000000,,B,VERIFY_BEFORE_PURCHASE,C-09
NG-HMO-003,Clearline HMO,Platinum Plus,corporate,30.0,678500.0,5000000,,,1500000,,B,VERIFY_BEFORE_PURCHASE,C-09
NG-HMO-003,Clearline HMO,SME Bronze,sme,11.0,84000.0,500000,,,150000,150000,FIRST_PARTY,VERIFY,Costs 36% MORE than corporate Bronze for HALF the limit (C-20)
NG-HMO-003,Clearline HMO,SME Silver,sme,11.0,108000.0,700000,,,170000,190000,FIRST_PARTY,VERIFY,C-20
NG-HMO-005,Mediplan Healthcare,Diaspora Basic Bronze,diaspora,1.0,,1200000,,,,,B,NOT_PUBLICLY_VERIFIED,Limits published; premium not
NG-HMO-005,Mediplan Healthcare,Diaspora Basic Silver,diaspora,1.0,,2400000,,,,,B,NOT_PUBLICLY_VERIFIED,
NG-HMO-005,Mediplan Healthcare,Diaspora Basic Gold,diaspora,1.0,,3600000,,,,,B,NOT_PUBLICLY_VERIFIED,
NG-HMO-006,AIICO Multishield,Standard,retail_individual,1.0,64680.0,350000,Primary/Secondary,CAPITATION,NOT COVERED,NOT COVERED,B,CURRENT,Payment model disclosed on compare page
NG-HMO-006,AIICO Multishield,Executive,retail_individual,1.0,109610.0,500000,,CAPITATION,NOT COVERED,250000,B,CURRENT,Major surgery NOT covered at 109610
NG-HMO-006,AIICO Multishield,Super Executive,retail_individual,1.0,153667.0,1000000,,CAPITATION,400000,250000,B,CURRENT,
